3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
37 37	Throughout this entry I have interspersed photos of the coastlines I have visited on this trip – take a look at them and envision what a 1 foot , 10 foot , or 80 foot sea level rise would look like .	O O O B-SPATIAL_ENTITY O O O O O B-PATH B-SPATIAL_ENTITY O B-MOTION O O O O O O O O O O O O O B-MEASURE I-MEASURE O B-MEASURE I-MEASURE O O B-MEASURE I-MEASURE O B-PATH B-MOTION O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O
17 17	As with all major cities , the outskirts are filled with shantytowns of poorer houses that I pass before entering a section of the town where the middle and upper classes live .	O O O O B-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-MOTION O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O O O O O B-NONMOTION_EVENT O	O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O
5 5	In the village Ciuperceni we took the direction to Godinesti and followed finally we followed the sign to Paraul de Vale .	B-SPATIAL_SIGNAL O B-PLACE B-PLACE B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE O	O O O O B-mover B-trigger O O O O O O O O O O O O O O O O
23 23	Passing a navy base , I followed the Pacific Coast Highway along the coastal mountains , passing through Malibu and Santa Monica before turning towards West Los Angeles where I met my friend Julia Goodnough .	B-MOTION O O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH I-PATH I-PATH B-SPATIAL_SIGNAL O O B-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE I-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O B-mover O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O
25 25	Monarchs , Deforestation , Poverty , and Climate Change Friday , February 10th , 2006 The butterflies I visited last week congregate in the millions at the tops of mountains in the center of Mexico .	O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O B-trajector O O O B-trigger O B-landmark O O O O O O O O
15 15	Despite the strange murky color of the pool water , I enjoyed playing tag and diving into the crowded pool .	O O O O O O O O O O B-SPATIAL_ENTITY O O O O B-MOTION B-MOTION_SIGNAL O O B-PLACE O	O O O O O O O O O O B-mover O O O O B-trigger O O O O O
7 8	Marcos cuts clay out of the roadside next to his house , then forms the clay into bricks , and then cooks the bricks with coal to harden them .	O B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL I-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O O O O	O O O O O O B-trajector B-trigger I-trigger O B-landmark O O O O O O O O O O O O O O O O O O O
13 13	We would climb the nearly 19,000 ft peak in just one morning , leaving our 14,000 ft base camp at midnight , hiking to the base of the glacier at 16,000 ft , and then using rope and crampons to reach the summit .	B-SPATIAL_ENTITY O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-PLACE O O O O O B-MOTION O B-MEASURE I-MEASURE O B-PLACE O O O B-MOTION B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PATH O B-MEASURE I-MEASURE O O O O B-MOTION_SIGNAL O B-MOTION_SIGNAL O B-MOTION O B-PLACE O	B-mover O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12 12	They invited me into their home , let me cook my dinner on their stove , and showed me pictures of past family events .	O O B-SPATIAL_ENTITY O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O O O O	O O O O O O O O O B-trajector O O B-trigger O B-landmark O O O O O O O O O O
4 4	Heading south , I rode four days to Oaxaca ( pronounced wa-hawk-ah ) through some of the most mountainous terrain yet .	B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-MOTION O O B-MOTION_SIGNAL B-PLACE O O O O B-MOTION_SIGNAL O O O O O B-PLACE O O	O O O B-mover B-trigger O O O O O O O O O O O O O O O O O
5 5	I stayed an extra day in Zacatecas , talked with a school , and then camped atop a building in the center of town , where I encountered my first rain in Mexico .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O O O O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O	O B-trajector O O O B-trigger B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O
19 19	I did , though , talk with the director , Sam Salinas , about the problem of obtaining water in Baja California .	B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O B-NONMOTION_EVENT O B-SPATIAL_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O B-trajector O B-trigger B-landmark I-landmark O
20 20	The last three km of the way went on a very small road , rather a bad field path , passing a newly built monastry to the buildings near the crossing .	O O B-MEASURE I-MEASURE O O B-PATH B-MOTION B-MOTION_SIGNAL O O O B-PATH O O O O O B-PATH O B-MOTION O O O B-PLACE B-MOTION_SIGNAL O B-PLACE B-MEASURE O B-PLACE O	O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O
1 2	Immediately east of the Museo del Prado is the city ’s major green space , Parque del Buen Retiro .	B-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O O B-PLACE O O O B-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE O	O B-trigger I-trigger O B-landmark I-landmark I-landmark O O O O O O B-trajector O O O O O O
8 8	The sculptural ensemble is probably the best-known fountain in all Spain .	O O B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O B-trajector B-trigger O B-landmark O
31 31	Cartagena to Medellin – into the Andes Monday , June 5th , 2006 Leaving Cartagena , I charted a course south , biking through hot lowlands for a few days before climbing into the Andes and the city of Medellin .	O O O O O O O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL O B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PLACE O B-PLACE O	O O O O O O O O O O O O O O O O B-mover O O O O O O O O O O O O O O B-trigger O O O O O O O O O
32 32	Sneeze in the middle of the night and your Edokko neighbor will demand the next morning that you take better care of yourself ; stay home with a fever and she will be over by noon with a bowl of soup .	O O O O O O O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-PLACE O O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O O O O
2 2	My boat followed the largest of the Amazon tributaries ( sometimes called the Solimoes , sometimes called the Amazon ) , upstream towards Peru ( see map ) .	O B-SPATIAL_ENTITY B-MOTION O B-PATH O O O B-PATH O O O O B-PATH O O O O B-PATH O O B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O O O O	O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
28 28	He said 'thanks to god' after saying that Uribe won , and then he told me that it would be safe for me to bike the main roads in Colombia .	O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O B-SPATIAL_ENTITY O B-MOTION O O B-PATH B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O
8 8	Further down , you see a dry landscape with a river .	O B-SPATIAL_SIGNAL O O O O O B-PLACE B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O B-landmark B-trigger O B-trajector O
3 3	I am now in Guerrero Negro , in the state of southern Baja California ( ‘ Baja California Sur ’ ) , where I have just washed my clothes and enjoyed a shower .	B-SPATIAL_ENTITY O O B-SPATIAL_SIGNAL B-PLACE I-PLACE O B-SPATIAL_SIGNAL O B-PLACE O O B-PLACE I-PLACE O O B-PLACE I-PLACE I-PLACE O O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O O O O O B-NONMOTION_EVENT O	B-trajector O O B-trigger B-landmark I-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O
0 0	Arriving upstream , Peru , Colombia , and Brazil 's borders all meet , and in the course of a day , I visited all three before boarding another boat , this time a high speed cruiser ( shown left below ) to take a one day trip to Iquitos ( map ) .	B-MOTION B-MOTION_SIGNAL O O O O O O O O B-PATH O B-MOTION O O O O O O O O O B-SPATIAL_ENTITY B-MOTION O B-PATH O B-MOTION O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL B-PLACE O O O O	B-trigger O O O O O O O O O B-mover O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
14 14	Entering the city during rush hour , I found I was the fastest vehicle on the road , happily following the makeshift 'bike lane' that appeared between the rows of cars stopped at a traffic light .	B-MOTION O B-PLACE O O O O B-SPATIAL_ENTITY O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PATH O O B-MOTION O O O B-PATH O O B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-SPATIAL_ENTITY O	O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O
29 29	There are few things I enjoy more than a view across high mountaintops , and , after a mountaineering guide convinced to front the money , I was soon following the guide out of Huaraz to attempt a climb of Vallunaraju .	O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PLACE O O O B-MOTION O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trigger O B-mover O O O O O O O O O O
3 3	Fields of corn grow strangely next to fields of cacti .	B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY O	O O B-mover B-trigger O O O O O O O
9 9	We sailed first to the San Blas Islands , where we anchored between two small islands .	B-SPATIAL_ENTITY B-MOTION O B-MOTION_SIGNAL O B-PLACE I-PLACE I-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O B-landmark I-landmark I-landmark O B-trigger O B-trajector O O O O O
54 54	I have been traveling fast for a few reasons â € “ the end of the school year ( southern hemisphere summer ) means I ca n't give presentations , I have a desire to not be rushed later in the trip , and I made a promise to meet a friend who is flying in to bike with me .	B-SPATIAL_ENTITY O O B-MOTION O O O O O O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O B-MOTION O B-SPATIAL_ENTITY B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-MOTION O B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O
0 0	Biking through the mountains , encountering occasional cold rain , the road eventually descended into the valley where the city of Medellin , Colombia 's second largest city , sits .	B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O O O B-PATH O B-MOTION B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O O O O O B-PLACE O B-NONMOTION_EVENT O	B-trigger O O O O O O O O O O B-mover O O O O O O O O O O O O O O O O O O O
0 0	In Copala I befriended a doctor and former cyclist who raced in the 1961-3 Tour de France , an artist who spends one month a year in a vow of silence ( not this month ) , and a young hotel manager who is married to a man more than twice her age ( something that I ’ve seen more than once here ) .	B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O B-SPATIAL_ENTITY O B-MOTION B-SPATIAL_SIGNAL O O B-NONMOTION_EVENT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	B-trigger B-landmark O B-trajector O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15 15	This campus specializes in eco-tourism , and students are to learn about the natural areas surrounding Loreto .	O O O O O O O O O O O O O O B-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O
18 18	I gave four presentations for the American School of Puebla , and stayed two days with a teacher at the school .	B-SPATIAL_ENTITY O O O O O B-PLACE I-PLACE I-PLACE I-PLACE O O B-NONMOTION_EVENT O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O B-trajector O O O O O B-trigger O B-landmark O
5 5	Fortunately , the road never crossed over the mountains , avoiding any serious hills .	O O O B-PATH O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-MOTION O O B-PLACE O	O O O B-mover O B-trigger O O O O O O O O O
8 8	After several attempts , however , we always land in the same place : Here is the confluence point !	O O O O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O O B-PLACE O B-PLACE O O O B-PLACE O	O O O O O O B-mover O B-trigger O O O O O O O O O O O
6 6	05-Oct-2001 -- The confluence is located between the villages of Fizeşu Gherlii and Sântioana some 500 meters from the road on a small hill .	O O O B-PLACE O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-PLACE I-PLACE O B-PLACE B-MEASURE I-MEASURE I-MEASURE O O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O B-landmark B-trigger O O O B-trajector I-trajector O O O O O O O O O O O O O
20 20	About 5 km behind that village in the direction to Bata we turned right near 21 E into a way leading into a forest .	B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MEASURE B-PATH I-PATH B-MOTION_SIGNAL O B-PATH B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O
11 11	I finally left Mexico City , departing on a road that cuts between two 18,000 ft volcanoes ( named Popocatepetl and Iztacihuatl ) .	B-SPATIAL_ENTITY O B-MOTION B-PLACE I-PLACE O B-MOTION B-MOTION_SIGNAL O B-PATH O B-MOTION B-MOTION_SIGNAL O B-MEASURE I-MEASURE B-PLACE O O B-PLACE O B-PLACE O O	O O O O O O O O O B-mover O B-trigger O O O O O O O O O O O O
1 1	After hitting the art world ’s Big Three , visitors can repair to Retiro Park , where kings once found respite from the demands of hectic city life .	O B-MOTION O O O O B-PLACE I-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE O O O O O O O O O O O O O O	O B-trigger O O O O O O O B-mover O O O O O O O O O O O O O O O O O O O
5 5	Our trip continued on foot crossing the valley and climbing the hill which was covered by a young and dense forest .	O B-MOTION O B-MOTION_SIGNAL I-MOTION_SIGNAL B-MOTION O B-PATH O B-MOTION O B-PLACE O O B-SPATIAL_SIGNAL O O O O O B-SPATIAL_ENTITY O	O O O O O B-trigger O O O O O O O O O O O O O O O O
6 6	I finally left Mexico City , departing on a road that cuts between two 18,000 ft volcanoes ( named Popocatepetl and Iztacihuatl ) .	B-SPATIAL_ENTITY O B-MOTION B-PLACE I-PLACE O B-MOTION B-MOTION_SIGNAL O B-PATH O B-MOTION B-MOTION_SIGNAL O B-MEASURE I-MEASURE B-PLACE O O B-PLACE O B-PLACE O O	B-mover O O O O O B-trigger O O O O O O O O O O O O O O O O O
0 0	In Belize , the majority of the population lives in coastal settlements that are barely above sea level .	B-SPATIAL_SIGNAL B-PLACE O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O B-SPATIAL_SIGNAL O B-PATH O	B-trigger B-landmark O O O O O B-trajector O O O O O O O O O O O
3 3	The first place in Japan to call itself a “ bar ” opened in Asakusa in 1880 ( and is still doing business ) ; the first movie theater opened here in 1903 .	O O B-PLACE B-SPATIAL_SIGNAL B-PLACE O O O O O B-PLACE O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O O O O O O O O O O O O B-NONMOTION_EVENT B-PLACE O O O	O O B-trajector B-trigger B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20 20	Stopping to camp for the night , we asked a retired American who moved to Belize if we could camp on his lawn .	O O O O O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
3 3	The jaguar then leapt onto Dennis leg .	O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY O	O B-mover O B-trigger O O O O
10 10	The city sits at about 3,000 feet above sea level in the middle of a large valley surrounded by pine forests .	O B-PLACE B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-MEASURE I-MEASURE O B-PLACE I-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O	O O B-trajector O O O O O O O B-trigger O B-landmark O O O O O O O O O
21 21	After a short discussion and a few cups of hot tea we walked towards the target that seemed to be located on the hill .	O O O O O O O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O B-trajector O O O O O B-trigger O B-landmark O
21 21	I now have personal connections with so many people across the two continents â € “ people whose houses I stayed in or camped next to .	B-SPATIAL_ENTITY O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE O O O O O B-PLACE B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O	O O O O O O O O O O O O O O O O O O B-landmark O B-trajector B-trigger O O O O O
11 11	I have 5 months left and a few thousand miles of biking left , and I can only hope that the last 5 months will be as enjoyable and productive as the past 12 .	B-SPATIAL_ENTITY O O O O O O B-MEASURE I-MEASURE I-MEASURE O B-MOTION O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O O O	B-mover O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O
14 14	We were just 100 m away from the top of the hill , from where I could have taken pictures for a beautiful 360 degree panorama .	B-SPATIAL_ENTITY O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O B-PLACE O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O O O O O O O O	O O O O O O O O B-landmark O O O O O B-trigger O O O B-trajector O O O O O O O O
24 24	Andres pulled out hot Colombian coffee in a thermos , some sandwiches , wine , and chocolate , and we all enjoyed a picnic between mountain lakes .	B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
11 11	After a short tracking we realized that there was no path up to the peak except for some animal trails .	O O O B-MOTION B-SPATIAL_ENTITY O O O O O B-PATH B-SPATIAL_SIGNAL B-SPATIAL_SIGNAL O B-PLACE O O O O B-PATH O	O O O O O O O O O O B-trajector B-trigger O O B-landmark O O O O O O
1 1	We drove for another 2 or 3 km when the GPS showed the confluence directly up the hill , 500 m further .	B-SPATIAL_ENTITY B-MOTION O O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O	B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O
5 5	After the very careful return trip down to Paraul de Vale we turned via Godinesti to Baia de Arama and Baile Herculane .	O O O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE O	O O O O O B-trigger O O O O O B-mover O O O O O O O O O O O
10 10	The next visitor is welcome to my watch – it came off somewhere on the way down – if you go at 7.30 am maybe you will find it by hearing the alarm go off .	O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PATH O O O B-SPATIAL_ENTITY B-MOTION O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O	O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O
17 17	The army has increased in size by over 30 % , and all major roads are heavily patrolled .	O B-SPATIAL_ENTITY O O O O O O O O O O O O B-PATH O O B-MOTION O	O B-mover O O O O O O O O O O O O O O O B-trigger O
