3 4	Distance from Simeria 17.1 km .	O O B-PLACE B-MEASURE I-MEASURE O	O O B-landmark B-trigger I-trigger O
20 21	We drove through the cities of Urziceni , Buzau , Ramnicu Sarat and , after three hours of driving and 200 km , we reached Focsani , at 35 km from the confluence point , in the county of Vrancea We continued our journey , heading west , towards Panciu .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O B-PLACE I-PLACE O O O O O O B-MOTION O B-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O B-landmark O B-trigger I-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8 9	We left our car on 46 N , 150 m away from the point .	B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL B-PATH I-PATH O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O	O O O B-trajector O O O O B-trigger I-trigger O O O B-landmark O
14 15	Before starting our trek , we visited the impressing mausoleum at Marasti , at 20 km of Panciu .	O O O B-MOTION O B-SPATIAL_ENTITY B-MOTION O O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O B-PLACE O	O O O O O O O O O O O O O O B-trigger I-trigger O B-landmark O
4 6	We were now at almost 1.5 km from the confluence and had to find a way to get closer again .	B-SPATIAL_ENTITY O O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O B-PLACE O O O O O B-PATH O B-MOTION B-MOTION_SIGNAL O O	O O O O B-trigger I-trigger I-trigger O O B-landmark O O O O O O O O O O O
28 28	The last three km of the way went on a very small road , rather a bad field path , passing a newly built monastry to the buildings near the crossing .	O O B-MEASURE I-MEASURE O O B-PATH B-MOTION B-MOTION_SIGNAL O O O B-PATH O O O O O B-PATH O B-MOTION O O O B-PLACE B-MOTION_SIGNAL O B-PLACE B-MEASURE O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
19 22	Then we take the way back through the wonderful landscape , having afterwards a very interesting Enduro week with many beautiful Offroad kilometers .	O B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PLACE O O O O O O B-MOTION O O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O	O O O O O O O O O O O O O O O O B-landmark O O B-trigger I-trigger I-trigger I-trigger O
4 7	We drove for another 2 or 3 km when the GPS showed the confluence directly up the hill , 500 m further .	B-SPATIAL_ENTITY B-MOTION O O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O	O B-landmark O O B-trigger I-trigger I-trigger I-trigger O O O O O O O O O O O O O O O
13 14	The point was very easy to access because the confluence point was only 35 m next to the street . . . . .	O B-PLACE O O O O B-MOTION O O O B-PLACE O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PATH O O O O O	O O O O O O O O O O B-trajector O O B-trigger I-trigger O O O B-landmark O O O O O
3 4	This was only 250 meters from the confluence !	B-PLACE O O B-MEASURE I-MEASURE O O B-PLACE O	B-trajector O O B-trigger I-trigger O O B-landmark O
13 15	In fact the point was at 1020 metres – so a climb of almost 500 metres .	O O O B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-MOTION O B-MEASURE I-MEASURE I-MEASURE O	O O O O O O O O O O O B-landmark O B-trigger I-trigger I-trigger O
16 17	Along the valley Hondol at the right side we found an abandoned mine and at only 50 meters we parked the car .	B-SPATIAL_SIGNAL O B-PATH B-PATH B-SPATIAL_SIGNAL O O B-PATH B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-PLACE O B-SPATIAL_SIGNAL O B-MEASURE I-MEASURE B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-SPATIAL_ENTITY O	O O O O O O O O O O O O B-landmark O O O B-trigger I-trigger O O O O O
10 11	I camped near the hamlet of Sălăgeni – just a few metres from the border .	B-SPATIAL_ENTITY B-NONMOTION_EVENT B-MEASURE O B-PLACE O B-PLACE O O O B-MEASURE I-MEASURE O O B-PATH O	O B-trajector O O O O O O O O B-trigger I-trigger O O B-landmark O
14 16	05-Oct-2001 -- The confluence is located between the villages of Fizeşu Gherlii and Sântioana some 500 meters from the road on a small hill .	O O O B-PLACE O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-PLACE I-PLACE O B-PLACE B-MEASURE I-MEASURE I-MEASURE O O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O B-trajector O O O O O O O O B-trigger I-trigger I-trigger O O B-landmark O O O O O
4 4	We try to drive near on the wood-cutting tracks as close as possible , and after approx .	B-SPATIAL_ENTITY O O B-MOTION B-MEASURE B-MOTION_SIGNAL O O B-PATH O O O O O O O O O	O O O B-trajector B-trigger O O O B-landmark O O O O O O O O O
4 4	In front of the near forest you can see a pole : that ’s used for hay stacks , but now being spring the hay was recently exhausted .	B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-MEASURE B-PLACE O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O O	O O O O B-trigger B-trajector O O O O O O O O O O O O O O O O O O O O O O O
15 16	There was no need to go out of the main valley and the point was some distance from the ridge line - I did not go on up to the ridge to see the rain from a different angle !	O O O O O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL O O B-PATH O O B-PLACE O B-MEASURE I-MEASURE O O O B-PATH O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PATH O O O O O O O O O	O O O O O O O O O O O O O B-trajector O B-trigger I-trigger O O O B-landmark O O O O O O O O O O O O O O O O O O O
19 20	We drove for another 2 or 3 km when the GPS showed the confluence directly up the hill , 500 m further .	B-SPATIAL_ENTITY B-MOTION O O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O	B-trajector O O O O O O O O O O O O B-landmark O O O O O B-trigger I-trigger O O
0 0	Just north of the Puerta del Sol and next door to the Ministry of Finance , is the Real Academia de Bellas Artes de San Fernando — call it the Museum of the Royal Academy .	B-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O O O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O B-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O	B-trigger O O O B-landmark I-landmark I-landmark O O O O O O O O O O O B-trajector I-trajector I-trajector I-trajector I-trajector I-trajector I-trajector I-trajector O O O O O O O O O O
15 16	After about 3 km , we entered the forest , and at a crossroad ( 1 km from the confluence ) we took the road which kept us going towards North-East .	O B-MEASURE I-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O B-MOTION_SIGNAL O B-PLACE O B-MEASURE I-MEASURE O O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL O	O O O O O O O O O O O O O B-trajector O B-trigger I-trigger O O B-landmark O O O O O O O O O O O O
0 1	1.3 km far from the confluence we must leave the way turning left , because it was the wrong direction .	B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_ENTITY O B-MOTION O B-PATH B-MOTION_SIGNAL I-MOTION_SIGNAL O O O O O O O O	B-trigger I-trigger O O O B-landmark O O B-trajector O O O O O O O O O O O O
7 8	I forded two drainage ditches – one waist high .	B-SPATIAL_ENTITY B-MOTION O O B-PATH O B-PATH B-MEASURE I-MEASURE O	O O O O O O B-landmark B-trigger I-trigger O
2 2	This elegant three-story brick palace has been specifically renovated to house one of the largest known private collections of ancient and modern paintings , the property of the German industrialist Baron von Thyssen-Bornemizsa .	O O B-MEASURE O B-PLACE O O O O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O	O O B-trigger O B-trajector O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5 6	2 hours for 1.8km and 500 metres ascent is slow going !	O O O B-MEASURE O B-MEASURE I-MEASURE B-MOTION O O O O	O O O O O B-trigger I-trigger B-trajector O O O O
51 51	Last Friday a colleague asked me if I was going away for the weekend – I said I had not planned anything – but it set me thinking and I quickly resolved to have a go at the nearest incomplete point to Kosovo – 570 km as the crow flies – 850 by via-Michelin – in Romania .	O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-MOTION B-MOTION_SIGNAL O O O B-PLACE O B-PLACE O B-MEASURE I-MEASURE O O O O O B-MEASURE O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-landmark O O O O O O O O B-trigger O O O O O O
33 33	Most of the temple quarter was firebombed to ashes in 1945 , but by 1958 the people of the area had raised enough money to rebuild Sensoji and all of the important structures around it .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-PLACE O O O O O B-SPATIAL_ENTITY B-MEASURE B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O
20 21	21-Aug-2005 -- Continued from 45N 29E - The second point is further north – away from the Danube delta and very close to the Moldovan border .	O O O O O O O O O B-PLACE O O B-SPATIAL_SIGNAL O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE O B-MEASURE I-MEASURE O O B-PATH I-PATH O	O O O O O O O O O B-trajector O O O O O O O O O O B-trigger I-trigger O O O O O
1 2	For many miles in that direction there are no human settlements , only forests and hills .	O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O O O O B-PLACE O O B-PLACE O B-PATH O	O B-trigger I-trigger O O O O O O O O O O O O O O
30 32	The steep slope and the thick carpet of fallen leaves hindered the descent and very precise determination of the confluence point , but we managed to pinpoint and take photos within sufficient accuracy from ' zero point ' . We congratulated ourselves and made the necessary photos to immortalize for eternity our conquest .	O O B-PATH O O O B-SPATIAL_ENTITY O O O O O B-MOTION O O O O O O O B-PLACE O O B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O B-MEASURE I-MEASURE I-MEASURE O O B-PLACE I-PLACE O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-trajector O B-trigger I-trigger I-trigger O O B-landmark I-landmark O O O O O O O O O O O O O O O O O
0 2	About 5 km behind that village in the direction to Bata we turned right near 21 E into a way leading into a forest .	B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MEASURE B-PATH I-PATH B-MOTION_SIGNAL O B-PATH B-MOTION B-MOTION_SIGNAL O B-PLACE O	B-trigger I-trigger I-trigger O O B-landmark O O O O O O B-trajector O O O O O O O O O O O O
17 17	After about one hundred meters of elevation we got to the top of the saddle , very close to the intersection of 46°N and 26°E .	O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O B-PLACE O O B-MEASURE O O B-PLACE O B-PATH O B-PATH O	O O O O O O O O O O O B-trajector O O O O O B-trigger O O B-landmark O O O O O
3 4	The castle is 1 km to SW on the other side of the valley , on the top of a 30m high crag .	O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O O B-MEASURE O B-PLACE O	O B-trajector O B-trigger I-trigger O O O O O O O O O O O O O O O O O O O
0 0	Immediately east of the Museo del Prado is the city ’s major green space , Parque del Buen Retiro .	B-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O O B-PLACE O O O B-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE O	B-trigger O O O B-landmark I-landmark I-landmark O O O O O O B-trajector O O O O O O
0 1	A block east is the distinguished Museo Arqueológico ( c / Serrano , 13 ) .	B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O O B-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O	B-trigger I-trigger O O O O B-landmark I-landmark O O O O O O O O
0 2	Quite a way east of the Salamanca barrio is the Plaza de Toros y Museo Taurino ( Bullfighting Ring and Museum ) , officially called the Plaza de Toros Monumental de Las Ventas .	B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE O O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE O O O O O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O	B-trigger I-trigger I-trigger O O O B-landmark I-landmark O O B-trajector I-trajector I-trajector I-trajector I-trajector I-trajector O O O O O O O O O O O O O O O O O O
4 5	The point itself was 1 km from the village .	O B-PLACE O O B-MEASURE I-MEASURE O O B-PLACE O	O B-trajector O O B-trigger I-trigger O O B-landmark O
13 14	The GPS ' said ' that from here till the point we had 200 meters left ( Point ) .	O O O O O O O B-PLACE O O B-PLACE O O B-MEASURE I-MEASURE O O O O O	O O O O O O O B-trajector O O B-landmark O O B-trigger I-trigger O O O O O
1 4	After about one hundred meters of elevation we got to the top of the saddle , very close to the intersection of 46°N and 26°E .	O B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O B-PLACE O O B-MEASURE O O B-PLACE O B-PATH O B-PATH O	O B-trigger I-trigger I-trigger I-trigger O O O B-trajector O O O O O O O O O O O O O O O O O
4 5	Today this land is 300 km far from the Hungarian state border , deeply in the heart of Romania .	O O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O O O B-PATH O O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O	O O B-trajector O B-trigger I-trigger O O O O O B-landmark O O O O O O O O
16 19	09-Aug-2003 -- On Saturday , 9th August 2003 , Daniel and I start with our Enduros approx . 100 kilometers from the confluence point .	O O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION_SIGNAL O O B-MOTION B-MEASURE I-MEASURE I-MEASURE I-MEASURE O O O B-PLACE O	O O O O O O O O O O O O O O O O B-trigger I-trigger I-trigger I-trigger O O O B-landmark O
19 20	We crossed many villages , but the confluence approached by a very small rate : while we were driving one kilometer the confluence approached by half a kilometer .	B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-PLACE B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL O O B-SPATIAL_ENTITY O B-MOTION B-MEASURE I-MEASURE O B-PLACE B-MOTION O O O O O	O O O O O O O O O O O O O O O O O O B-landmark B-trigger I-trigger O O O O O O O O
10 11	But we decided to keep driving , and after some 20 km from Ciucea , in the village of Bogdana , we turned right , just near the main village church .	O B-SPATIAL_ENTITY O O O B-MOTION O O O O B-MEASURE I-MEASURE O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-MEASURE O O O B-PLACE O	O O O O O O O O O O B-trigger I-trigger O B-landmark O O O O O O O O B-trajector O O O O O O O O O
16 16	At some point we thought that we had taken perhaps not the best road to get near the spot .	O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O B-MOTION O O O O B-PATH O B-MOTION B-MEASURE O B-PLACE O	O O O O O O O O O O O O O O O O B-trigger O B-landmark O
2 2	Horses feasted nearby and we enjoyed the beautiful prospect in the shade of shrubs – after having taken the photos , of course .	B-SPATIAL_ENTITY B-NONMOTION_EVENT B-MEASURE O B-SPATIAL_ENTITY O O O O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O O O O O O O O O O O	O B-trajector B-trigger O O O O O O O O O O O O O O O O O O O O O
7 9	So we had to park the car about 700 m far from N45E23 at the edge of a forest .	O B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O B-trigger I-trigger I-trigger O O B-landmark O O O O O O O
3 5	We had only 70 more km to Cluj ( the next important city on our way back to Bucharest ) taking this way , while if getting back to Ciucea and on to Cluj the normal way would have been now about 25 km longer .	B-SPATIAL_ENTITY O O B-MEASURE I-MEASURE I-MEASURE O B-PLACE O O O O B-PLACE O O B-PATH O O B-PLACE O B-MOTION O B-PATH O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O B-PATH O O O O O O O O O	B-trajector O O B-trigger I-trigger I-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
18 20	As we walked into the oak wood the road changed into a path , which we left at about 300 m from the confluence because we were getting away from it .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O B-PATH O O O B-PATH O O B-SPATIAL_ENTITY B-MOTION B-SPATIAL_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O B-trigger I-trigger I-trigger O O B-landmark O O O O O O O O
15 16	We continued driving , because it seemed to be too hot to walk the last 3000 m .	B-SPATIAL_ENTITY O B-MOTION O O O O O O O O O B-MOTION O O B-MEASURE I-MEASURE O	O O O O O O O O O O O O B-landmark O O B-trigger I-trigger O
2 2	The last kilometers before we take the forest road , which leads approximately toward the confluence point , we are driving on the street , because it goes steeply uphill from the valley and is is rather hard to drive in the forest .	O O B-MEASURE O B-SPATIAL_ENTITY B-MOTION O O B-PATH O O B-MOTION O B-MOTION_SIGNAL O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PATH B-MOTION O B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O B-trigger O O O O O O O O O O O O O O O O O B-trajector O O O O O O O O O O O O O O O O O O O O O O O
7 8	The GPS showed that we were at 185 km from the confluence North 46 with East 27 .	O O O O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O B-PLACE B-PATH I-PATH O B-PATH I-PATH O	O O O O O O O B-trigger I-trigger O O B-landmark O O O O O O
9 11	2 hours of travel we got the motorcycles to within 530 meters of the confluence point .	O O O B-MOTION B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O O B-PLACE O	O O O O O O O O O B-trigger I-trigger I-trigger O O O B-landmark O
15 15	I drove through this road section already several times , conscious that it is very near to the confluence point N 45° E 22° ( for the first time in August 1999 ) , however without knowing of the " Degree Confluence Project " - my friend Ulrich Leardi told me of it .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PATH O O O O O O B-PATH O O B-MEASURE B-SPATIAL_SIGNAL O O O B-PLACE I-PLACE I-PLACE I-PLACE O O O O O O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O	O O O O O O O O O O O O B-trajector O O B-trigger O O O O B-landmark I-landmark I-landmark I-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
16 18	Passing through the villages of Muncelu and Straoane , the distance to confluence point decreased to almost 5 km .	B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O O O O O B-PLACE O O B-MEASURE I-MEASURE I-MEASURE O	B-trajector O O O O O O O O O O O O B-landmark O O B-trigger I-trigger I-trigger O
8 9	It lays about the western cliff of a 15 m deep ravine , on the bottom of which we saw a dry riverbed .	B-PLACE B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PATH O O B-MEASURE I-MEASURE O B-PATH O B-SPATIAL_SIGNAL O B-PATH O O B-SPATIAL_ENTITY O O O B-PATH O	O O O O O O O O B-trigger I-trigger O O O O O O O O O O O O O O
